excec memoryUsed freeBlocks rounds avgsize
1.0 65264 1 2 65264
1.0 65192 1 3 65192
1.0 65120 1 4 65120
1.0 65056 1 5 65056
1.0 64968 1 6 64968
1.0 64888 1 7 64888
1.0 64792 1 8 64792
1.0 64624 1 9 64624
1.0 64560 1 10 64560
1.0 64424 1 11 64424
1.0 64320 1 12 64320
1.0 64216 1 13 64216
2.0 64216 1 14 64216
1.0 64144 1 15 64144
1.0 64080 1 16 64080
0.0 64016 1 17 64016
1.0 63864 1 18 63864
1.0 63800 1 19 63800
1.0 63736 1 20 63736
1.0 63568 1 21 63568
1.0 63456 1 22 63456
1.0 63264 1 23 63264
1.0 63200 1 24 63200
1.0 63136 1 25 63136
1.0 63168 2 26 31584
1.0 63088 2 27 31544
0.0 63024 2 28 31512
0.0 63024 2 29 31512
0.0 62952 2 30 31476
0.0 62888 2 31 31444
1.0 62888 3 32 20963
1.0 62824 3 33 20941
1.0 62824 3 34 20941
1.0 62656 3 35 20885
0.0 62592 3 36 20864
0.0 62480 3 37 20827
0.0 62416 3 38 20805
1.0 62416 3 39 20805
1.0 62336 3 40 20779
1.0 62192 3 41 20731
1.0 62032 3 42 20677
1.0 61920 3 43 20640
1.0 61808 3 44 20603
1.0 61664 3 45 20555
1.0 61712 4 46 15428
2.0 61600 4 47 15400
1.0 61424 4 48 15356
1.0 61304 4 49 15326
1.0 61240 4 50 15310
1.0 61152 4 51 15288
1.0 61264 5 52 12253
1.0 61152 4 53 15288
1.0 61032 4 54 15258
0.0 61072 5 55 12214
0.0 60888 5 56 12178
1.0 60824 5 57 12165
1.0 60800 6 58 10133
1.0 60656 6 59 10109
1.0 60560 6 60 10093
1.0 60496 6 61 10083
0.0 60416 6 62 10069
0.0 60328 6 63 10055
1.0 60320 7 64 8617
1.0 60208 7 65 8601
1.0 60200 8 66 7525
1.0 60120 9 67 6680
0.0 59984 9 68 6665
1.0 59920 9 69 6658
1.0 60008 10 70 6001
1.0 59920 9 71 6658
1.0 59920 9 72 6658
0.0 59912 10 73 5991
1.0 59792 10 74 5979
1.0 59688 10 75 5969
1.0 59640 11 76 5422
1.0 59568 11 77 5415
0.0 59496 11 78 5409
0.0 59344 11 79 5395
0.0 59152 11 80 5377
1.0 59152 12 81 4929
1.0 59152 13 82 4550
0.0 59104 14 83 4222
1.0 59080 15 84 3939
1.0 59080 16 85 3692
0.0 59008 17 86 3471
1.0 58840 17 87 3461
1.0 58744 18 88 3264
2.0 58640 18 89 3258
0.0 58640 19 90 3086
1.0 58464 19 91 3077
1.0 58464 19 92 3077
0.0 58320 19 93 3069
1.0 58368 20 94 2918
1.0 58192 20 95 2910
0.0 58192 21 96 2771
1.0 58088 21 97 2766
1.0 58000 22 98 2636
1.0 58000 22 99 2636
1.0 57896 22 100 2632
1.0 57936 23 101 2519
1.0 57936 23 102 2519
1.0 57936 24 103 2414
1.0 57864 25 104 2315
1.0 57680 25 105 2307
1.0 57608 26 106 2216
1.0 57544 26 107 2213
0.0 57544 26 108 2213
1.0 57472 26 109 2210
1.0 57472 26 110 2210
0.0 57464 27 111 2128
1.0 57464 28 112 2052
0.0 57496 29 113 1983
1.0 57416 29 114 1980
1.0 57488 30 115 1916
1.0 57480 31 116 1854
1.0 57416 31 117 1852
1.0 57344 31 118 1850
1.0 57208 32 119 1788
1.0 57128 33 120 1731
1.0 57048 33 121 1729
1.0 56976 33 122 1727
1.0 56856 34 123 1672
1.0 56904 35 124 1626
0.0 56960 36 125 1582
1.0 57096 37 126 1543
1.0 57064 38 127 1502
1.0 56952 39 128 1460
0.0 56984 40 129 1425
1.0 56912 41 130 1388
1.0 56912 42 131 1355
1.0 57016 43 132 1326
1.0 56952 44 133 1294
0.0 56952 44 134 1294
1.0 56888 44 135 1293
1.0 56824 44 136 1291
1.0 56760 44 137 1290
1.0 56832 45 138 1263
1.0 56864 46 139 1236
1.0 56728 46 140 1233
1.0 56680 47 141 1206
1.0 56680 47 142 1206
1.0 56528 47 143 1203
1.0 56464 47 144 1201
3.0 56360 48 145 1174
1.0 56360 48 146 1174
1.0 56440 49 147 1152
1.0 56376 50 148 1128
1.0 56264 51 149 1103
1.0 56264 52 150 1082
1.0 56208 53 151 1061
1.0 56280 54 152 1042
1.0 56328 55 153 1024
0.0 56288 56 154 1005
0.0 56224 56 155 1004
0.0 56224 56 156 1004
1.0 56072 56 157 1001
1.0 56112 57 158 984
1.0 56056 58 159 966
1.0 56032 59 160 950
0.0 55960 59 161 948
1.0 55952 60 162 933
1.0 55952 60 163 933
1.0 55952 61 164 917
1.0 55992 62 165 903
1.0 55992 62 166 903
1.0 56056 63 167 890
2.0 56056 63 168 890
1.0 56056 63 169 890
1.0 55992 63 170 889
1.0 55896 64 171 873
0.0 55896 65 172 860
1.0 55896 65 173 860
0.0 55712 65 174 857
0.0 55568 65 175 855
1.0 55496 66 176 841
1.0 55432 66 177 840
0.0 55504 67 178 828
0.0 55552 68 179 817
1.0 55624 69 180 806
1.0 55624 70 181 795
1.0 55528 71 182 782
0.0 55440 71 183 781
0.0 55392 72 184 769
0.0 55432 73 185 759
1.0 55352 73 186 758
1.0 55296 74 187 747
1.0 55360 75 188 738
1.0 55288 76 189 727
1.0 55376 77 190 719
1.0 55432 78 191 711
1.0 55400 79 192 701
1.0 55224 79 193 699
1.0 55120 80 194 689
1.0 55032 81 195 679
1.0 54984 82 196 671
1.0 54984 82 197 671
5.0 54968 83 198 662
2.0 54968 83 199 662
1.0 54952 84 200 654
2.0 55064 85 201 648
1.0 55016 86 202 640
1.0 54816 86 203 637
1.0 54816 86 204 637
1.0 54752 86 205 637
1.0 54712 87 206 629
1.0 54704 88 207 622
1.0 54752 89 208 615
1.0 54720 90 209 608
0.0 54752 91 210 602
1.0 54680 91 211 601
1.0 54608 91 212 600
1.0 54688 92 213 594
1.0 54672 92 214 594
1.0 54592 92 215 593
1.0 54488 92 216 592
1.0 54488 93 217 586
1.0 54448 94 218 579
0.0 54448 95 219 573
1.0 54328 95 220 572
1.0 54328 96 221 566
1.0 54256 97 222 559
0.0 54192 97 223 559
1.0 54000 97 224 557
1.0 54000 97 225 557
0.0 53920 98 226 550
1.0 53920 98 227 550
1.0 53896 99 228 544
0.0 53816 99 229 544
1.0 53752 100 230 538
1.0 53704 101 231 532
0.0 53768 102 232 527
1.0 53704 102 233 527
0.0 53608 102 234 526
1.0 53640 103 235 521
1.0 53632 104 236 516
1.0 53480 104 237 514
1.0 53440 105 238 509
0.0 53472 106 239 504
1.0 53472 107 240 500
1.0 53528 108 241 496
1.0 53432 108 242 495
1.0 53408 109 243 490
1.0 53344 110 244 485
1.0 53304 111 245 480
1.0 53288 112 246 476
1.0 53192 113 247 471
1.0 53192 113 248 471
3.0 53128 113 249 470
1.0 53200 114 250 467
0.0 53112 115 251 462
1.0 53112 116 252 458
1.0 53072 117 253 454
0.0 53072 117 254 454
1.0 53128 118 255 450
1.0 53216 119 256 447
