excec memoryUsed freeBlocks rounds avgsize
0.0 65264 1 2 65264
1.0 65192 1 3 65192
1.0 65120 1 4 65120
1.0 65056 1 5 65056
1.0 64968 1 6 64968
0.0 64888 1 7 64888
0.0 64792 1 8 64792
1.0 64624 1 9 64624
1.0 64560 1 10 64560
1.0 64424 1 11 64424
1.0 64320 1 12 64320
0.0 64216 1 13 64216
0.0 64216 1 14 64216
1.0 64144 1 15 64144
1.0 64080 1 16 64080
1.0 64016 1 17 64016
1.0 63864 1 18 63864
1.0 63800 1 19 63800
1.0 63736 1 20 63736
1.0 63568 1 21 63568
1.0 63456 1 22 63456
1.0 63264 1 23 63264
1.0 63200 1 24 63200
1.0 63136 1 25 63136
1.0 63168 2 26 31584
0.0 63088 2 27 31544
0.0 63024 2 28 31512
1.0 63024 2 29 31512
1.0 62952 2 30 31476
1.0 62888 2 31 31444
1.0 62888 3 32 20963
0.0 62824 3 33 20941
1.0 62824 3 34 20941
1.0 62656 3 35 20885
1.0 62592 3 36 20864
1.0 62480 3 37 20827
1.0 62416 3 38 20805
1.0 62416 3 39 20805
1.0 62336 3 40 20779
1.0 62192 3 41 20731
1.0 62032 3 42 20677
1.0 61920 3 43 20640
1.0 61808 3 44 20603
1.0 61664 3 45 20555
1.0 61712 4 46 15428
3.0 61600 4 47 15400
1.0 61424 4 48 15356
0.0 61304 4 49 15326
0.0 61240 4 50 15310
0.0 61152 4 51 15288
0.0 61264 5 52 12253
1.0 61152 4 53 15288
1.0 61032 4 54 15258
1.0 61072 5 55 12214
1.0 60888 5 56 12178
0.0 60824 5 57 12165
0.0 60800 6 58 10133
1.0 60656 6 59 10109
1.0 60560 6 60 10093
1.0 60496 6 61 10083
1.0 60416 6 62 10069
1.0 60328 6 63 10055
1.0 60320 7 64 8617
0.0 60208 7 65 8601
1.0 60200 7 66 8600
1.0 60120 8 67 7515
0.0 59984 8 68 7498
0.0 59920 8 69 7490
1.0 60008 9 70 6668
1.0 59920 8 71 7490
1.0 59944 8 72 7493
1.0 59936 9 73 6660
0.0 59816 9 74 6646
0.0 59712 9 75 6635
1.0 59664 9 76 6629
1.0 59592 9 77 6621
1.0 59520 9 78 6613
1.0 59368 9 79 6596
1.0 59176 9 80 6575
1.0 59176 10 81 5918
0.0 59176 10 82 5918
1.0 59128 11 83 5375
1.0 59104 12 84 4925
0.0 59104 13 85 4546
1.0 59032 14 86 4217
1.0 58864 14 87 4205
1.0 58768 14 88 4198
0.0 58664 14 89 4190
1.0 58664 15 90 3911
2.0 58488 15 91 3899
1.0 58488 15 92 3899
1.0 58344 15 93 3890
1.0 58392 16 94 3650
1.0 58216 16 95 3638
1.0 58216 17 96 3424
1.0 58112 17 97 3418
0.0 58024 18 98 3224
1.0 58024 18 99 3224
1.0 57920 18 100 3218
0.0 57960 19 101 3051
1.0 57960 19 102 3051
1.0 57960 19 103 3051
0.0 57880 18 104 3216
1.0 57696 18 105 3205
1.0 57624 19 106 3033
1.0 57560 19 107 3029
0.0 57576 18 108 3199
1.0 57504 18 109 3195
1.0 57504 18 110 3195
0.0 57496 19 111 3026
1.0 57496 20 112 2875
1.0 57528 21 113 2739
1.0 57448 21 114 2736
1.0 57520 21 115 2739
1.0 57512 22 116 2614
1.0 57448 22 117 2611
1.0 57376 22 118 2608
0.0 57240 23 119 2489
1.0 57160 23 120 2485
1.0 57080 23 121 2482
1.0 57008 23 122 2479
1.0 56888 23 123 2473
0.0 56936 22 124 2588
1.0 56992 22 125 2591
1.0 57128 23 126 2484
0.0 57096 23 127 2482
1.0 56984 24 128 2374
1.0 57016 25 129 2281
1.0 56944 26 130 2190
1.0 56944 26 131 2190
1.0 57048 27 132 2113
1.0 56984 27 133 2111
1.0 56992 27 134 2111
1.0 56928 27 135 2108
1.0 56864 27 136 2106
1.0 56800 27 137 2104
1.0 56872 27 138 2106
0.0 56904 27 139 2108
1.0 56768 27 140 2103
