excec memoryUsed freeBlocks rounds avgsize
4.0 65328 1 2 65328
5.0 65280 1 3 65280
4.0 65232 1 4 65232
4.0 65192 1 5 65192
4.0 65128 1 6 65128
4.0 65072 1 7 65072
4.0 65000 1 8 65000
4.0 64856 1 9 64856
4.0 64816 1 10 64816
4.0 64704 1 11 64704
4.0 64624 1 12 64624
4.0 64544 1 13 64544
5.0 64568 2 14 32284
4.0 64520 2 15 32260
5.0 64480 2 16 32240
4.0 64440 2 17 32220
4.0 64312 2 18 32156
5.0 64272 2 19 32136
5.0 64232 2 20 32116
4.0 64088 2 21 32044
4.0 64000 2 22 32000
4.0 63832 2 23 31916
4.0 63792 2 24 31896
4.0 63752 2 25 31876
4.0 63784 3 26 21261
6.0 63728 3 27 21243
4.0 63688 3 28 21229
5.0 63688 3 29 21229
4.0 63640 3 30 21213
5.0 63600 3 31 21200
5.0 63600 4 32 15900
4.0 63560 4 33 15890
5.0 63560 4 34 15890
4.0 63416 4 35 15854
4.0 63376 4 36 15844
4.0 63288 4 37 15822
4.0 63248 4 38 15812
5.0 63248 4 39 15812
4.0 63192 4 40 15798
4.0 63072 4 41 15768
4.0 62936 4 42 15734
4.0 62848 4 43 15712
4.0 62760 4 44 15690
5.0 62640 4 45 15660
4.0 62688 5 46 12538
4.0 62600 5 47 12520
4.0 62448 5 48 12490
4.0 62352 5 49 12470
4.0 62312 5 50 12462
4.0 62248 5 51 12450
5.0 62360 6 52 10393
4.0 62288 6 53 10381
4.0 62192 6 54 10365
5.0 62232 7 55 8890
5.0 62072 7 56 8867
4.0 62032 7 57 8862
4.0 61992 6 58 10332
4.0 61872 6 59 10312
4.0 61800 6 60 10300
4.0 61760 6 61 10293
4.0 61640 6 63 10273
5.0 61632 7 64 8805
4.0 61544 7 65 8792
4.0 61536 7 66 8791
5.0 61456 8 67 7682
4.0 61344 8 68 7668
4.0 61304 8 69 7663
5.0 61392 9 70 6821
4.0 61352 9 71 6817
4.0 61376 9 72 6820
4.0 61368 10 73 6137
5.0 61272 10 74 6127
4.0 61192 10 75 6119
5.0 61136 9 76 6793
4.0 61088 9 77 6788
5.0 61040 9 78 6782
4.0 60912 9 79 6768
5.0 60744 9 80 6749
5.0 60744 10 81 6074
4.0 60744 10 82 6074
4.0 60696 11 83 5518
5.0 60672 11 84 5516
4.0 60672 12 85 5056
4.0 60600 13 86 4662
5.0 60456 13 87 4650
4.0 60360 13 88 4643
4.0 60280 13 89 4637
4.0 60280 14 90 4306
4.0 60128 14 91 4295
4.0 60152 15 92 4010
4.0 60032 15 93 4002
4.0 60080 16 94 3755
5.0 59928 16 95 3746
5.0 59928 17 96 3525
4.0 59848 17 97 3520
4.0 59760 18 98 3320
4.0 59784 18 99 3321
5.0 59704 18 100 3317
4.0 59744 19 101 3144
4.0 59752 19 102 3145
5.0 59752 19 103 3145
4.0 59680 19 104 3141
4.0 59520 19 105 3133
5.0 59448 20 106 2972
5.0 59408 20 107 2970
4.0 59408 20 108 2970
4.0 59352 19 109 3124
4.0 59352 19 110 3124
4.0 59328 18 111 3296
5.0 59328 19 112 3123
4.0 59360 20 113 2968
5.0 59304 20 114 2965
5.0 59376 20 115 2969
4.0 59368 21 116 2827
4.0 59328 21 117 2825
5.0 59280 21 118 2823
5.0 59144 22 119 2688
5.0 59064 22 120 2685
4.0 59008 22 121 2682
5.0 58960 22 122 2680
5.0 58824 20 123 2941
4.0 58880 20 124 2944
4.0 58936 20 125 2947
4.0 59072 21 126 2813
6.0 59040 21 127 2811
4.0 58904 22 128 2677
4.0 58936 23 129 2562
5.0 58864 24 130 2453
5.0 58864 24 131 2453
4.0 58968 25 132 2359
5.0 58904 25 133 2356
4.0 58904 25 134 2356
4.0 58864 25 135 2355
4.0 58824 25 136 2353
4.0 58784 25 137 2351
4.0 58888 25 139 2356
4.0 58776 25 140 2351
4.0 58728 25 141 2349
4.0 58728 25 142 2349
4.0 58560 25 144 2342
4.0 58456 25 145 2338
4.0 58456 25 146 2338
4.0 58536 25 147 2341
4.0 58488 26 148 2250
5.0 58376 25 149 2335
4.0 58376 26 150 2245
5.0 58320 25 151 2333
5.0 58392 26 152 2246
4.0 58440 27 153 2164
4.0 58400 27 154 2163
4.0 58344 26 155 2244
4.0 58336 26 156 2244
5.0 58208 26 157 2239
4.0 58248 27 158 2157
4.0 58208 28 159 2079
5.0 58184 29 160 2006
4.0 58136 29 161 2005
4.0 58128 29 162 2004
5.0 58152 29 163 2005
4.0 58152 28 164 2077
4.0 58192 28 165 2078
4.0 58208 28 166 2079
4.0 58272 27 167 2158
4.0 58272 27 168 2158
4.0 58296 27 169 2159
4.0 58256 27 170 2158
5.0 58152 26 171 2237
4.0 58152 26 172 2237
5.0 58168 26 173 2237
5.0 58008 26 174 2231
4.0 57888 26 175 2226
4.0 57816 26 176 2224
5.0 57776 26 177 2222
5.0 57848 27 178 2143
4.0 57896 27 179 2144
4.0 57968 26 180 2230
4.0 57968 26 181 2230
5.0 57872 26 182 2226
4.0 57800 25 183 2312
5.0 57752 25 184 2310
4.0 57792 26 185 2223
4.0 57736 26 186 2221
5.0 57680 26 187 2218
4.0 57744 27 188 2139
5.0 57664 27 189 2136
4.0 57752 28 190 2063
4.0 57808 28 191 2065
4.0 57768 28 192 2063
5.0 57616 28 193 2058
5.0 57512 29 194 1983
6.0 57424 29 195 1980
5.0 57376 29 196 1978
5.0 57376 29 197 1978
4.0 57360 30 198 1912
5.0 57360 30 199 1912
5.0 57344 31 200 1850
4.0 57456 32 201 1796
4.0 57408 31 202 1852
4.0 57232 31 203 1846
4.0 57248 31 204 1847
4.0 57208 31 205 1845
4.0 57168 31 206 1844
4.0 57160 32 207 1786
4.0 57208 32 208 1788
4.0 57176 32 209 1787
4.0 57208 32 210 1788
4.0 57160 32 211 1786
4.0 57112 32 212 1785
4.0 57192 33 213 1733
5.0 57168 32 214 1786
4.0 57112 32 215 1785
4.0 57032 32 216 1782
4.0 57016 33 217 1728
5.0 56976 33 218 1727
4.0 56976 33 219 1727
4.0 56880 33 220 1724
5.0 56880 34 221 1673
5.0 56808 34 222 1671
4.0 56768 34 223 1670
4.0 56600 34 224 1665
4.0 56600 34 225 1665
5.0 56520 35 226 1615
5.0 56528 34 227 1663
4.0 56504 34 228 1662
5.0 56440 33 229 1710
5.0 56376 34 230 1658
4.0 56328 35 231 1609
4.0 56392 34 232 1659
4.0 56352 34 233 1657
4.0 56280 34 234 1655
6.0 56296 34 235 1656
4.0 56272 34 236 1655
5.0 56144 34 237 1651
4.0 56104 35 238 1603
5.0 56136 35 239 1604
5.0 56136 35 240 1604
6.0 56192 35 241 1605
4.0 56120 35 242 1603
4.0 56096 36 243 1558
5.0 56016 37 244 1514
4.0 55976 38 245 1473
5.0 55960 37 246 1512
4.0 55864 37 247 1510
5.0 55888 37 248 1510
4.0 55848 37 249 1509
4.0 55920 37 250 1511
4.0 55832 36 251 1551
4.0 55832 37 252 1509
5.0 55792 36 253 1550
4.0 55816 37 254 1509
4.0 55872 38 255 1470
4.0 55944 38 256 1472
5.0 55928 39 257 1434
5.0 55832 38 258 1469
4.0 55760 38 259 1467
4.0 55728 37 260 1506
6.0 55632 38 261 1464
5.0 55624 38 262 1464
4.0 55584 38 263 1463
4.0 55584 38 264 1463
4.0 55520 38 265 1461
4.0 55352 40 267 1384
4.0 55424 40 268 1386
5.0 55368 40 269 1384
5.0 55208 40 270 1380
5.0 55112 40 271 1378
5.0 55080 41 272 1343
4.0 54936 41 273 1340
4.0 54960 42 274 1309
5.0 54912 41 275 1339
4.0 54784 41 276 1336
4.0 54704 41 277 1334
4.0 54640 40 278 1366
4.0 54600 40 279 1365
4.0 54512 40 280 1363
